#STIG ID,Legacy Group ID,Legacy Rule ID,Old Rule ID,New Group ID,New Rule ID
APSC-DV-001620,V-69543,SV-84165,SV-84165r1_rule,V-222530,SV-222530r508029_rule
APSC-DV-001630,V-69545,SV-84167,SV-84167r1_rule,V-222531,SV-222531r508029_rule
APSC-DV-001640,V-69547,SV-84169,SV-84169r1_rule,V-222532,SV-222532r508029_rule
APSC-DV-001650,V-69549,SV-84171,SV-84171r1_rule,V-222533,SV-222533r508029_rule
APSC-DV-001660,V-69551,SV-84173,SV-84173r1_rule,V-222534,SV-222534r508029_rule
APSC-DV-001670,V-69553,SV-84175,SV-84175r2_rule,V-222535,SV-222535r508029_rule
APSC-DV-001680,V-69555,SV-84177,SV-84177r1_rule,V-222536,SV-222536r508029_rule
APSC-DV-001690,V-69557,SV-84179,SV-84179r1_rule,V-222537,SV-222537r508029_rule
APSC-DV-001700,V-69559,SV-84181,SV-84181r1_rule,V-222538,SV-222538r508029_rule
APSC-DV-001710,V-69561,SV-84183,SV-84183r1_rule,V-222539,SV-222539r508029_rule
APSC-DV-001720,V-69563,SV-84185,SV-84185r1_rule,V-222540,SV-222540r508029_rule
APSC-DV-001730,V-69565,SV-84187,SV-84187r1_rule,V-222541,SV-222541r508029_rule
APSC-DV-001740,V-69567,SV-84189,SV-84189r1_rule,V-222542,SV-222542r508029_rule
APSC-DV-001750,V-69569,SV-84191,SV-84191r1_rule,V-222543,SV-222543r508029_rule
APSC-DV-001760,V-69571,SV-84193,SV-84193r1_rule,V-222544,SV-222544r508029_rule
APSC-DV-001770,V-69573,SV-84195,SV-84195r1_rule,V-222545,SV-222545r508029_rule
APSC-DV-001780,V-69575,SV-84197,SV-84197r1_rule,V-222546,SV-222546r508029_rule
APSC-DV-001790,V-69577,SV-84199,SV-84199r1_rule,V-222547,SV-222547r508029_rule
APSC-DV-001795,V-70145,SV-84767,SV-84767r1_rule,V-222548,SV-222548r561251_rule
APSC-DV-001800,V-70147,SV-84769,SV-84769r2_rule,V-222549,SV-222549r508029_rule
APSC-DV-001810,V-70149,SV-84771,SV-84771r1_rule,V-222550,SV-222550r508029_rule
APSC-DV-001820,V-70151,SV-84773,SV-84773r1_rule,V-222551,SV-222551r508029_rule
APSC-DV-001830,V-70153,SV-84775,SV-84775r1_rule,V-222552,SV-222552r508029_rule
APSC-DV-001840,V-70155,SV-84777,SV-84777r1_rule,V-222553,SV-222553r508029_rule
APSC-DV-001850,V-70157,SV-84779,SV-84779r2_rule,V-222554,SV-222554r508029_rule
APSC-DV-001860,V-70159,SV-84781,SV-84781r2_rule,V-222555,SV-222555r508029_rule
APSC-DV-001870,V-70161,SV-84783,SV-84783r1_rule,V-222556,SV-222556r508029_rule
APSC-DV-001880,V-70163,SV-84785,SV-84785r1_rule,V-222557,SV-222557r508029_rule
APSC-DV-001890,V-70165,SV-84787,SV-84787r2_rule,V-222558,SV-222558r508029_rule
APSC-DV-001900,V-70167,SV-84789,SV-84789r1_rule,V-222559,SV-222559r508029_rule
APSC-DV-001910,V-70169,SV-84791,SV-84791r1_rule,V-222560,SV-222560r508029_rule
APSC-DV-001930,V-70171,SV-84793,SV-84793r1_rule,V-222561,SV-222561r508029_rule
APSC-DV-001940,V-70175,SV-84797,SV-84797r1_rule,V-222562,SV-222562r508029_rule
APSC-DV-001950,V-70177,SV-84799,SV-84799r1_rule,V-222563,SV-222563r508029_rule
APSC-DV-001960,V-70179,SV-84801,SV-84801r1_rule,V-222564,SV-222564r508029_rule
APSC-DV-001970,V-70181,SV-84803,SV-84803r1_rule,V-222565,SV-222565r508029_rule
APSC-DV-001980,V-70183,SV-84805,SV-84805r1_rule,V-222566,SV-222566r508029_rule
APSC-DV-001995,V-70185,SV-84807,SV-84807r1_rule,V-222567,SV-222567r508029_rule
APSC-DV-002000,V-70187,SV-84809,SV-84809r1_rule,V-222568,SV-222568r508029_rule
APSC-DV-002010,V-70189,SV-84811,SV-84811r2_rule,V-222569,SV-222569r561293_rule
APSC-DV-002020,V-70191,SV-84813,SV-84813r2_rule,V-222570,SV-222570r508029_rule
APSC-DV-002030,V-70193,SV-84815,SV-84815r2_rule,V-222571,SV-222571r508029_rule
APSC-DV-002040,V-70195,SV-84817,SV-84817r1_rule,V-222572,SV-222572r508029_rule
APSC-DV-002050,V-70197,SV-84819,SV-84819r1_rule,V-222573,SV-222573r508029_rule
APSC-DV-002150,V-70199,SV-84821,SV-84821r1_rule,V-222574,SV-222574r508029_rule
APSC-DV-002210,V-70201,SV-84823,SV-84823r1_rule,V-222575,SV-222575r508029_rule
APSC-DV-002220,V-70203,SV-84825,SV-84825r1_rule,V-222576,SV-222576r508029_rule
APSC-DV-002230,V-70205,SV-84827,SV-84827r1_rule,V-222577,SV-222577r508029_rule
APSC-DV-002240,V-70207,SV-84829,SV-84829r1_rule,V-222578,SV-222578r508029_rule
APSC-DV-002250,V-70209,SV-84831,SV-84831r1_rule,V-222579,SV-222579r508029_rule
APSC-DV-002260,V-70211,SV-84833,SV-84833r1_rule,V-222580,SV-222580r508029_rule
APSC-DV-002270,V-70213,SV-84835,SV-84835r1_rule,V-222581,SV-222581r508029_rule
APSC-DV-002280,V-70215,SV-84837,SV-84837r1_rule,V-222582,SV-222582r508029_rule
APSC-DV-002290,V-70217,SV-84839,SV-84839r1_rule,V-222583,SV-222583r508029_rule
APSC-DV-002300,V-70219,SV-84841,SV-84841r1_rule,V-222584,SV-222584r508029_rule
APSC-DV-002310,V-70221,SV-84843,SV-84843r1_rule,V-222585,SV-222585r508029_rule
APSC-DV-002320,V-70223,SV-84845,SV-84845r1_rule,V-222586,SV-222586r508029_rule
APSC-DV-002330,V-70225,SV-84847,SV-84847r1_rule,V-222587,SV-222587r508029_rule
APSC-DV-002340,V-70227,SV-84849,SV-84849r1_rule,V-222588,SV-222588r508029_rule
APSC-DV-002350,V-70229,SV-84851,SV-84851r1_rule,V-222589,SV-222589r508029_rule
APSC-DV-002360,V-70231,SV-84853,SV-84853r1_rule,V-222590,SV-222590r508029_rule
APSC-DV-002370,V-70233,SV-84855,SV-84855r1_rule,V-222591,SV-222591r508029_rule
APSC-DV-002380,V-70235,SV-84857,SV-84857r1_rule,V-222592,SV-222592r508029_rule
APSC-DV-002390,V-70237,SV-84859,SV-84859r1_rule,V-222593,SV-222593r561254_rule
APSC-DV-002400,V-70239,SV-84861,SV-84861r1_rule,V-222594,SV-222594r561257_rule
APSC-DV-002410,V-70241,SV-84863,SV-84863r1_rule,V-222595,SV-222595r508029_rule
APSC-DV-002440,V-70245,SV-84867,SV-84867r1_rule,V-222596,SV-222596r508029_rule
APSC-DV-002450,V-70247,SV-84869,SV-84869r1_rule,V-222597,SV-222597r561260_rule
APSC-DV-002460,V-70249,SV-84871,SV-84871r1_rule,V-222598,SV-222598r508029_rule
APSC-DV-002470,V-70251,SV-84873,SV-84873r1_rule,V-222599,SV-222599r508029_rule
APSC-DV-002480,V-70253,SV-84875,SV-84875r1_rule,V-222600,SV-222600r508029_rule
APSC-DV-002485,V-70255,SV-84877,SV-84877r1_rule,V-222601,SV-222601r508029_rule
APSC-DV-002490,V-70257,SV-84879,SV-84879r1_rule,V-222602,SV-222602r561263_rule
APSC-DV-002500,V-70259,SV-84881,SV-84881r1_rule,V-222603,SV-222603r508029_rule
APSC-DV-002510,V-70261,SV-84883,SV-84883r1_rule,V-222604,SV-222604r508029_rule
APSC-DV-002520,V-70263,SV-84885,SV-84885r1_rule,V-222605,SV-222605r561266_rule
APSC-DV-002530,V-70265,SV-84887,SV-84887r1_rule,V-222606,SV-222606r508029_rule
APSC-DV-002540,V-70267,SV-84889,SV-84889r1_rule,V-222607,SV-222607r508029_rule
APSC-DV-002550,V-70269,SV-84891,SV-84891r1_rule,V-222608,SV-222608r508029_rule
APSC-DV-002560,V-70271,SV-84893,SV-84893r1_rule,V-222609,SV-222609r561269_rule
APSC-DV-002570,V-70273,SV-84895,SV-84895r1_rule,V-222610,SV-222610r508029_rule
APSC-DV-002580,V-70275,SV-84897,SV-84897r1_rule,V-222611,SV-222611r508029_rule
APSC-DV-002590,V-70277,SV-84899,SV-84899r1_rule,V-222612,SV-222612r561272_rule
APSC-DV-002610,V-70279,SV-84901,SV-84901r1_rule,V-222613,SV-222613r508029_rule
APSC-DV-002630,V-70281,SV-84903,SV-84903r1_rule,V-222614,SV-222614r508029_rule
APSC-DV-002760,V-70283,SV-84905,SV-84905r1_rule,V-222615,SV-222615r508029_rule
APSC-DV-002770,V-70285,SV-84907,SV-84907r1_rule,V-222616,SV-222616r508029_rule
APSC-DV-002780,V-70287,SV-84909,SV-84909r1_rule,V-222617,SV-222617r508029_rule
APSC-DV-002870,V-70289,SV-84911,SV-84911r1_rule,V-222618,SV-222618r508029_rule
APSC-DV-002880,V-70291,SV-84913,SV-84913r1_rule,V-222619,SV-222619r508029_rule
APSC-DV-002890,V-70293,SV-84915,SV-84915r1_rule,V-222620,SV-222620r508029_rule
APSC-DV-002900,V-70295,SV-84917,SV-84917r1_rule,V-222621,SV-222621r508029_rule
APSC-DV-002910,V-70297,SV-84919,SV-84919r1_rule,V-222622,SV-222622r508029_rule
APSC-DV-002920,V-70301,SV-84923,SV-84923r1_rule,V-222623,SV-222623r508029_rule
APSC-DV-002930,V-70303,SV-84925,SV-84925r1_rule,V-222624,SV-222624r508029_rule
APSC-DV-002950,V-70307,SV-84929,SV-84929r1_rule,V-222625,SV-222625r508029_rule
APSC-DV-002960,V-70309,SV-84931,SV-84931r1_rule,V-222626,SV-222626r508029_rule
APSC-DV-002970,V-70311,SV-84933,SV-84933r1_rule,V-222627,SV-222627r508029_rule
APSC-DV-002980,V-70313,SV-84935,SV-84935r1_rule,V-222628,SV-222628r561275_rule
APSC-DV-002990,V-70317,SV-84939,SV-84939r2_rule,V-222629,SV-222629r508029_rule
APSC-DV-002995,V-70339,SV-84961,SV-84961r1_rule,V-222630,SV-222630r508029_rule
APSC-DV-003000,V-70341,SV-84963,SV-84963r1_rule,V-222631,SV-222631r508029_rule
APSC-DV-003010,V-70343,SV-84965,SV-84965r1_rule,V-222632,SV-222632r508029_rule
APSC-DV-003020,V-70345,SV-84967,SV-84967r2_rule,V-222633,SV-222633r508029_rule
APSC-DV-003030,V-70347,SV-84969,SV-84969r1_rule,V-222634,SV-222634r508029_rule
APSC-DV-003040,V-70349,SV-84971,SV-84971r1_rule,V-222635,SV-222635r508029_rule
APSC-DV-003050,V-70351,SV-84973,SV-84973r1_rule,V-222636,SV-222636r508029_rule
APSC-DV-003060,V-70353,SV-84975,SV-84975r1_rule,V-222637,SV-222637r508029_rule
APSC-DV-003070,V-70355,SV-84977,SV-84977r1_rule,V-222638,SV-222638r508029_rule
APSC-DV-003080,V-70357,SV-84979,SV-84979r1_rule,V-222639,SV-222639r508029_rule
APSC-DV-003090,V-70359,SV-84981,SV-84981r1_rule,V-222640,SV-222640r508029_rule
APSC-DV-003100,V-70361,SV-84983,SV-84983r1_rule,V-222641,SV-222641r508029_rule
APSC-DV-003110,V-70363,SV-84985,SV-84985r1_rule,V-222642,SV-222642r508029_rule
APSC-DV-003120,V-70365,SV-84987,SV-84987r1_rule,V-222643,SV-222643r508029_rule
APSC-DV-003130,V-70367,SV-84989,SV-84989r1_rule,V-222644,SV-222644r508029_rule
APSC-DV-003140,V-70369,SV-84991,SV-84991r2_rule,V-222645,SV-222645r561278_rule
APSC-DV-003150,V-70371,SV-84993,SV-84993r1_rule,V-222646,SV-222646r508029_rule
APSC-DV-003160,V-70373,SV-84995,SV-84995r1_rule,V-222647,SV-222647r508029_rule
APSC-DV-003170,V-70375,SV-84997,SV-84997r1_rule,V-222648,SV-222648r508029_rule
APSC-DV-003180,V-70377,SV-84999,SV-84999r1_rule,V-222649,SV-222649r508029_rule
APSC-DV-003190,V-70379,SV-85001,SV-85001r1_rule,V-222650,SV-222650r508029_rule
APSC-DV-003200,V-70381,SV-85003,SV-85003r1_rule,V-222651,SV-222651r508029_rule
APSC-DV-003210,V-70383,SV-85005,SV-85005r1_rule,V-222652,SV-222652r508029_rule
APSC-DV-003215,V-70385,SV-85007,SV-85007r1_rule,V-222653,SV-222653r561281_rule
APSC-DV-003220,V-70387,SV-85009,SV-85009r1_rule,V-222654,SV-222654r561284_rule
APSC-DV-003230,V-70389,SV-85011,SV-85011r1_rule,V-222655,SV-222655r508029_rule
APSC-DV-003235,V-70391,SV-85013,SV-85013r1_rule,V-222656,SV-222656r508029_rule
APSC-DV-003236,V-70393,SV-85015,SV-85015r1_rule,V-222657,SV-222657r561287_rule
APSC-DV-003240,V-70395,SV-85017,SV-85017r2_rule,V-222658,SV-222658r508029_rule
APSC-DV-003250,V-70397,SV-85019,SV-85019r1_rule,V-222659,SV-222659r508029_rule
APSC-DV-003260,V-70399,SV-85021,SV-85021r1_rule,V-222660,SV-222660r508029_rule
APSC-DV-003270,V-70401,SV-85023,SV-85023r1_rule,V-222661,SV-222661r508029_rule
APSC-DV-003280,V-70403,SV-85025,SV-85025r1_rule,V-222662,SV-222662r508029_rule
APSC-DV-003285,V-70405,SV-85027,SV-85027r1_rule,V-222663,SV-222663r508029_rule
APSC-DV-003290,V-70407,SV-85029,SV-85029r1_rule,V-222664,SV-222664r508029_rule
APSC-DV-003300,V-70409,SV-85031,SV-85031r2_rule,V-222665,SV-222665r508029_rule
APSC-DV-003310,V-70411,SV-85033,SV-85033r1_rule,V-222666,SV-222666r508029_rule
APSC-DV-003320,V-70413,SV-85035,SV-85035r1_rule,V-222667,SV-222667r508029_rule
APSC-DV-003330,V-70415,SV-85037,SV-85037r2_rule,V-222668,SV-222668r508029_rule
APSC-DV-003340,V-70417,SV-85039,SV-85039r1_rule,V-222669,SV-222669r508029_rule
APSC-DV-003345,V-70419,SV-85041,SV-85041r1_rule,V-222670,SV-222670r508029_rule
APSC-DV-003350,V-70421,SV-85043,SV-85043r1_rule,V-222671,SV-222671r508029_rule
APSC-DV-003360,V-70423,SV-85045,SV-85045r1_rule,V-222672,SV-222672r508029_rule
APSC-DV-003400,V-70425,SV-85047,SV-85047r2_rule,V-222673,SV-222673r508029_rule
